n; Temps d'exécution (micro s); Mouvements du pointeur d'exécution
1;709,9;206
2;902,4;411
3;1117,3;616
4;1287,4;821
5;1430,6;1026
6;1521,3;1231
7;1697,3;1436
8;1794,6;1641
9;1921,4;1846
10;1984,8;2051
11;2098,6;2256
12;2152,7;2461
13;2294,8;2666
14;2374,0;2871
15;2427,9;3076
16;2510,1;3281
17;2618,5;3486
18;2649,8;3691
19;2753,4;3896
20;2803,3;4101
21;2837,9;4306
22;2880,4;4511
23;2951,4;4716
24;3001,7;4921
25;3025,7;5126
26;3013,4;5331
27;3117,0;5536
28;3186,5;5741
29;3286,2;5946
30;3333,4;6151
31;3393,5;6356
32;3466,0;6561
33;3323,5;6766
34;3446,1;6971
35;3469,1;7176
36;3571,3;7381
37;3494,3;7586
38;3627,5;7791
39;3554,5;7996
40;3711,3;8201
41;3829,0;8406
42;3692,1;8611
43;3870,6;8816
44;3778,4;9021
45;3948,2;9226
46;4030,4;9431
47;3806,4;9636
48;3805,3;9841
49;4155,9;10046
50;3912,1;10251
51;3999,3;10456
52;4203,9;10661
53;4367,3;10866
54;4196,0;11071
55;4197,1;11276
56;4380,6;11481
57;4296,3;11686
58;4282,5;11891
59;4490,8;12096
60;4386,8;12301
61;4464,4;12506
62;4359,8;12711
63;4481,4;12916
64;4915,8;13121
65;4577,5;13326
66;4690,5;13531
67;4800,3;13736
68;4785,1;13941
69;4616,0;14146
70;4695,9;14351
71;4776,9;14556
72;4771,6;14761
73;4820,6;14966
74;4859,3;15171
75;4990,1;15376
76;5210,0;15581
77;5118,4;15786
78;5054,3;15991
79;5127,0;16196
80;5012,4;16401
81;5347,4;16606
82;5043,3;16811
83;5376,3;17016
84;5156,4;17221
85;5513,7;17426
86;5569,9;17631
87;5393,5;17836
88;5294,5;18041
89;5314,6;18246
90;5587,4;18451
91;5728,9;18656
92;5514,6;18861
93;5431,3;19066
94;5439,8;19271
95;5703,8;19476
96;5692,2;19681
97;5645,7;19886
98;5604,6;20091
99;5835,9;20296
100;5819,3;20501
101;5635,7;20706
102;5764,1;20911
103;5886,1;21116
104;5988,8;21321
105;5937,7;21526
106;6076,9;21731
107;5979,3;21936
108;6161,9;22141
109;6163,6;22346
110;6053,3;22551
111;6011,1;22756
112;6173,8;22961
113;6184,9;23166
114;6163,9;23371
115;6260,9;23576
116;6347,9;23781
117;6228,3;23986
118;6420,9;24191
119;6277,8;24396
120;6518,2;24601
121;6392,5;24806
122;6331,2;25011
123;6243,9;25216
124;6592,9;25421
125;6424,6;25626
126;6476,0;25831
127;6628,5;26036
128;6687,7;26241
129;6770,4;26446
130;6420,1;26651
131;6659,2;26856
132;6714,0;27061
133;6682,7;27266
134;6548,5;27471
135;6904,4;27676
136;6715,2;27881
137;6691,0;28086
138;6574,1;28291
139;6749,5;28496
140;6909,3;28701
141;6764,2;28906
142;7048,7;29111
143;6841,1;29316
144;6976,5;29521
145;7084,6;29726
146;7095,2;29931
147;7204,4;30136
148;6955,2;30341
149;7016,6;30546
150;7001,4;30751
151;7080,0;30956
152;7210,7;31161
153;7073,1;31366
154;7147,3;31571
155;7150,4;31776
156;7060,7;31981
157;7304,1;32186
158;7325,5;32391
159;7166,4;32596
160;7356,1;32801
161;7380,5;33006
162;7273,0;33211
163;7381,4;33416
164;7268,7;33621
165;7392,2;33826
166;7610,1;34031
167;7252,6;34236
168;7464,9;34441
169;7301,1;34646
170;7436,9;34851
171;7359,3;35056
172;7395,2;35261
173;7711,6;35466
174;7582,8;35671
175;7466,3;35876
176;7855,0;36081
177;7751,1;36286
178;7690,5;36491
179;7689,2;36696
180;7784,6;36901
181;7750,9;37106
182;7801,2;37311
183;7641,0;37516
184;7674,8;37721
185;7828,8;37926
186;7757,7;38131
187;8167,1;38336
188;7849,2;38541
189;8047,5;38746
190;7752,2;38951
191;7840,4;39156
192;8115,5;39361
193;7880,7;39566
194;7859,5;39771
195;7902,5;39976
196;7977,7;40181
197;7912,9;40386
198;8135,4;40591
199;8037,4;40796
200;8019,9;41001
201;8138,8;41206
202;8076,3;41411
203;8248,7;41616
204;8391,8;41821
205;8253,5;42026
206;8311,5;42231
207;8320,8;42436
208;8405,4;42641
209;8186,6;42846
210;8417,6;43051
211;8470,2;43256
212;8225,8;43461
213;8327,4;43666
214;8355,6;43871
215;8810,2;44076
216;8769,6;44281
217;8608,9;44486
218;8494,6;44691
219;8585,6;44896
220;8559,3;45101
221;8605,6;45306
222;8617,3;45511
223;8580,2;45716
224;8662,5;45921
225;8561,4;46126
226;8738,2;46331
227;8627,7;46536
228;8684,5;46741
229;8610,1;46946
230;8686,1;47151
231;8542,5;47356
232;8816,1;47561
233;8767,6;47766
234;8959,8;47971
235;8818,7;48176
236;8938,8;48381
237;9039,6;48586
238;8718,5;48791
239;8867,3;48996
240;8736,6;49201
241;9302,2;49406
242;8883,5;49611
243;8832,7;49816
244;9171,4;50021
245;9211,8;50226
246;8928,3;50431
247;9273,4;50636
248;9099,0;50841
249;9042,2;51046
250;8924,1;51251
251;9215,4;51456
252;9033,6;51661
253;9148,4;51866
254;9193,0;52071
